fid,ADM1_EN,ADM1_PCODE,2021,2022,2023,2024,2025
1,Region I (Ilocos Region),0100000000,1902342.6,1965372.36,1990286.68,1967134.45,561071.21
2,Region II (Cagayan Valley),0200000000,2909950.48,2928165.7,3026087.62,2922716.55,264168.21
3,Region III (Central Luzon),0300000000,3741210.53,3616712.39,3638431.28,3482484.41,86005.46
4,Region IV-A (Calabarzon),0400000000,409915.07,395898.7,433399.42,311059.05,61921.12
5,Region V (Bicol Region),0500000000,1346952.45,1329004.4,1302648.98,1202079.34,361428.79
6,Region VI (Western Visayas),0600000000,2356902.44,2321593.72,2263158.34,1463496.52,795142.03
7,Region VII (Central Visayas),0700000000,289502,242394.57,293073.38,244748.46,73625.01
8,Region VIII (Eastern Visayas),0800000000,864373.13,840344.65,844372.47,827935.09,321518.39
9,Region IX (Zamboanga Peninsula),0900000000,667354.86,651696.55,703864.3,682244.8,265997.06
10,Region X (Northern Mindanao),1000000000,793640.31,814738.58,824241.41,814081.24,104805.04
11,Region XI (Davao Region),1100000000,484724.57,490254.16,502744.59,508407.9,50984.67
12,Region XII (Soccsksargen),1200000000,1278188.1,1244277.89,1256405.89,1212725.14,204180.24
13,National Capital Region (NCR),1300000000,0,0,0,0,0
14,Cordillera Administrative Region (CAR),1400000000,377133.35,338067.45,331469.66,299400.11,54095.78
15,Region XIII (Caraga),1600000000,467743.5,520181.03,543431.02,574092.72,215265.48
16,Mimaropa Region,1700000000,1225283.21,1231933.7,1210384.05,1157865.71,344882.38
17,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),1900000000,844953.6,825877.58,895562.87,916967.16,629462.49
18,Negros Island Region (NIR),1800000000,0,0,0,499696.78,126408.87
