fid,ADM1_EN,ADM1_PCODE,2021,2022,2023,2024,2025
1,Region I (Ilocos Region),PH01,172469.08,166032.3,167059.71,177876.46,160858.92
2,Region II (Cagayan Valley),PH02,47048.83,47187.67,49013.14,50658.73,48568.11
3,Region III (Central Luzon),PH03,48068.9,47828.65,52082.73,49275.98,51061.74
4,Region IV-A (Calabarzon),PH04,41394.32,43009.95,48238.15,45635.3,40513.99
5,Region V (Bicol Region),PH05,1787,1722.4,1637.2,1355.59,1174.28
6,Region VI (Western Visayas),PH06,58575.6,59804.15,63696.99,53957.8,58333.26
7,Region VII (Central Visayas),PH07,77378.32,60533.93,112672.16,37625.59,35890.51
8,Region VIII (Eastern Visayas),PH08,498.68,433.21,635.43,762.28,720.82
9,Region IX (Zamboanga Peninsula),PH09,72152.61,71835.18,68111.61,71283.54,44200.04
10,Region X (Northern Mindanao),PH10,52477.6,52401.69,60026.3,56613.2,56141.38
11,Region XI (Davao Region),PH11,46491.88,44813.7,43639.09,43174.14,42486.42
12,Region XII (Soccsksargen),PH12,63751.5,60174.16,63981.57,69043.53,66164.97
13,National Capital Region (NCR),PH13,,,,,
14,Cordillera Administrative Region (CAR),PH14,2595.32,2674.92,2662.64,2238.86,2261.36
15,Region XIII (Caraga),PH15,20193.24,17852.72,18781.05,17030.09,17515.8
16,Mimaropa Region,PH16,21163.04,20431.31,18967.43,16406.96,15460.86
17,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH17,15649.06,15817.23,14838.56,15914.95,18726.06
18,Negros Island Region (NIR),PH18,0,0,0,54445.62,50846.81
