fid,ADM1_EN,ADM1_PCODE,2021,2022,2023,2024,2025
1,Region I (Ilocos Region),PH01,1902342.6,1965372.36,1990286.68,1967134.45,61359.53
2,Region II (Cagayan Valley),PH02,2909950.48,2928165.7,3026087.62,2922716.55,37038.88
3,Region III (Central Luzon),PH03,3741210.53,3616712.39,3638431.28,3482484.41,214760.3
4,Region IV-A (Calabarzon),PH04,409915.07,395898.7,433399.42,311059.05,228400.16
5,Region V (Bicol Region),PH05,1346952.45,1329004.4,1302648.98,1202079.34,92723.92
6,Region VI (Western Visayas),PH06,2356902.44,2321593.72,2263158.34,1463496.52,57112.81
7,Region VII (Central Visayas),PH07,289502,242394.57,293073.38,244748.46,141507.03
8,Region VIII (Eastern Visayas),PH08,864373.13,840344.65,844372.47,827935.09,52177.92
9,Region IX (Zamboanga Peninsula),PH09,667354.86,651696.55,703864.3,682244.8,83969.46
10,Region X (Northern Mindanao),PH10,793640.31,814738.58,824241.41,814081.24,213986.72
11,Region XI (Davao Region),PH11,484724.57,490254.16,502744.59,508407.9,131090.98
12,Region XII (Soccsksargen),PH12,1278188.1,1244277.89,1256405.89,1212725.14,101480.37
13,National Capital Region (NCR),PH13,0,0,0,0,23.13
14,Cordillera Administrative Region (CAR),PH14,377133.35,338067.45,331469.66,299400.11,19399.93
15,Region XIII (Caraga),PH15,467743.5,520181.03,543431.02,574092.72,19845.53
16,Mimaropa Region,PH16,1225283.21,1231933.7,1210384.05,1157865.71,83669.92
17,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH17,844953.6,825877.58,895562.87,916967.16,9960.72
18,Negros Island Region (NIR),PH18,0,0,0,499696.78,109693.11
